nohup: no se tendrá en cuenta la entrada
semilla=42 | vec=binary | peso=uniform | p=1 | k=3 → acc=0.4058
semilla=42 | vec=binary | peso=uniform | p=1 | k=4 → acc=0.3762
semilla=42 | vec=binary | peso=uniform | p=1 | k=5 → acc=0.3821
semilla=42 | vec=binary | peso=uniform | p=1 | k=6 → acc=0.3752
semilla=42 | vec=binary | peso=uniform | p=1 | k=7 → acc=0.3722
semilla=42 | vec=binary | peso=uniform | p=1 | k=10 → acc=0.3624
semilla=42 | vec=binary | peso=uniform | p=2 | k=3 → acc=0.4058
semilla=42 | vec=binary | peso=uniform | p=2 | k=4 → acc=0.3762
semilla=42 | vec=binary | peso=uniform | p=2 | k=5 → acc=0.3821
semilla=42 | vec=binary | peso=uniform | p=2 | k=6 → acc=0.3752
semilla=42 | vec=binary | peso=uniform | p=2 | k=7 → acc=0.3722
semilla=42 | vec=binary | peso=uniform | p=2 | k=10 → acc=0.3624
semilla=42 | vec=binary | peso=distance | p=1 | k=3 → acc=0.4133
semilla=42 | vec=binary | peso=distance | p=1 | k=4 → acc=0.3961
semilla=42 | vec=binary | peso=distance | p=1 | k=5 → acc=0.3871
semilla=42 | vec=binary | peso=distance | p=1 | k=6 → acc=0.3884
semilla=42 | vec=binary | peso=distance | p=1 | k=7 → acc=0.3801
semilla=42 | vec=binary | peso=distance | p=1 | k=10 → acc=0.3746
semilla=42 | vec=binary | peso=distance | p=2 | k=3 → acc=0.4133
semilla=42 | vec=binary | peso=distance | p=2 | k=4 → acc=0.3962
semilla=42 | vec=binary | peso=distance | p=2 | k=5 → acc=0.3870
semilla=42 | vec=binary | peso=distance | p=2 | k=6 → acc=0.3883
semilla=42 | vec=binary | peso=distance | p=2 | k=7 → acc=0.3800
semilla=42 | vec=binary | peso=distance | p=2 | k=10 → acc=0.3743
semilla=42 | vec=tf | peso=uniform | p=1 | k=3 → acc=0.5416
semilla=42 | vec=tf | peso=uniform | p=1 | k=4 → acc=0.5140
semilla=42 | vec=tf | peso=uniform | p=1 | k=5 → acc=0.5160
semilla=42 | vec=tf | peso=uniform | p=1 | k=6 → acc=0.5091
semilla=42 | vec=tf | peso=uniform | p=1 | k=7 → acc=0.4975
semilla=42 | vec=tf | peso=uniform | p=1 | k=10 → acc=0.4832
semilla=42 | vec=tf | peso=uniform | p=2 | k=3 → acc=0.7579
